K,kernel,gops,ms,kept,total
1024,neon_sdot_m4,109.49,0.076616,4032,5000
1024,q_sdot_m4_se,88.88,0.094385,4232,5000
1024,q_sdot_m4,95.87,0.087500,4167,5000
512,neon_sdot_m4,109.16,0.038423,8791,10000
512,q_sdot_m4_se,74.80,0.056077,8810,10000
512,q_sdot_m4,85.66,0.048962,8665,10000
256,neon_sdot_m4,102.50,0.020461,17020,20000
256,q_sdot_m4_se,54.42,0.038538,18083,20000
256,q_sdot_m4,68.33,0.030693,17642,20000
128,neon_sdot_m4,92.73,0.011308,34805,40000
128,q_sdot_m4_se,38.34,0.027346,37085,40000
128,q_sdot_m4,59.14,0.017730,36235,40000
64,neon_sdot_m4,74.49,0.007038,71409,80000
64,q_sdot_m4_se,22.87,0.022923,78779,80000
64,q_sdot_m4,42.60,0.012308,74761,80000
32,neon_sdot_m4,54.09,0.004846,149311,160000
32,q_sdot_m4_se,12.88,0.020346,158083,160000
32,q_sdot_m4,29.38,0.008923,152460,160000
