M=64 N=64 K=1024 reps=50 cpu=-1 dotprod=yes peak=0 kHz
second,gops_total,freq_first_khz,freq_last_khz
0,167.88,2002000,1824000
1,170.53,2002000,1824000
2,162.77,2002000,2016000
3,172.33,2002000,2016000
4,158.14,2002000,1920000
5,167.22,2002000,2016000
6,161.46,2002000,1728000
7,111.00,2002000,533000
8,120.54,2002000,533000
9,118.24,2002000,2112000
10,84.75,2002000,2340000
11,181.67,2002000,2016000
12,129.28,2002000,533000
13,181.68,2002000,2016000
14,175.87,2002000,2016000
15,181.03,2002000,2016000
16,103.42,2002000,2016000
17,112.61,2002000,2016000
18,62.07,2002000,533000
19,123.70,2002000,533000
20,70.31,2002000,2400000
21,193.39,2002000,2016000
22,177.27,2002000,1248000
23,176.31,2002000,2016000
24,174.83,2002000,1728000
25,174.33,2002000,2208000
26,170.04,2002000,2112000
27,173.21,2002000,1728000
28,172.94,2002000,2016000
29,171.81,2002000,2016000
30,164.12,2002000,1728000
31,169.91,2002000,1824000
32,169.34,2002000,1824000
33,170.29,2002000,1824000
34,170.84,2002000,1824000
35,170.85,2002000,1824000
36,170.15,2002000,1824000
37,165.71,2002000,1824000
38,166.50,2002000,1728000
39,168.08,2002000,1632000
40,167.98,2002000,1920000
41,167.81,2002000,1920000
42,166.57,2002000,1920000
43,166.92,2002000,1632000
44,167.15,2002000,1632000
45,167.15,2002000,1632000
46,167.50,2002000,1920000
47,167.38,2002000,1920000
48,166.76,2002000,1824000
49,165.71,2002000,1824000
50,115.69,672000,1920000
51,170.19,2002000,1824000
52,164.27,2002000,1824000
53,165.99,2002000,1824000
54,163.69,2002000,1824000
55,62.83,2002000,1824000
56,104.21,2002000,1824000
57,151.35,2002000,1824000
58,170.62,2002000,1824000
59,162.66,2002000,1824000
60,166.07,2002000,1920000
61,166.75,2002000,1824000
62,160.83,2002000,1824000
63,163.90,2002000,1824000
64,156.96,2002000,1536000
65,153.76,2002000,1728000
66,159.93,2002000,1728000
67,162.92,2002000,1824000
68,165.92,2002000,1728000
69,166.36,2002000,1824000
70,166.32,2002000,1728000
71,166.38,2002000,1728000
72,165.79,2002000,1728000
73,165.40,2002000,1824000
74,165.67,2002000,1728000
75,164.92,2002000,1728000
76,165.62,2002000,1728000
77,165.62,2002000,1728000
78,164.74,2002000,1728000
79,163.54,2002000,1728000
80,161.36,1920000,1536000
81,149.77,1920000,1536000
82,149.91,1920000,1536000
83,150.16,1920000,1536000
84,148.48,1920000,1536000
85,149.46,1920000,1536000
86,150.35,1920000,1536000
87,147.93,1920000,1536000
88,149.94,1920000,1536000
89,150.12,1920000,1536000
90,148.06,1920000,1536000
91,150.30,1920000,1536000
92,149.99,1920000,1536000
93,149.66,1920000,1536000
94,150.22,1920000,1536000
95,150.02,1920000,1536000
96,148.69,1920000,1536000
97,149.97,1920000,1536000
98,150.19,1920000,1536000
99,149.88,1920000,1536000
100,149.99,1920000,1536000
101,149.49,1920000,1536000
102,149.35,1920000,1536000
103,150.33,1920000,1536000
104,150.27,1920000,1536000
105,149.68,1920000,1536000
106,150.26,1920000,1536000
107,148.95,1920000,1536000
108,150.23,1920000,1536000
109,150.11,1920000,1536000
110,149.84,1920000,1536000
111,149.75,1920000,1536000
112,150.01,1920000,1536000
113,149.14,1920000,1536000
114,149.70,1920000,1536000
115,150.23,1920000,1536000
116,150.26,1920000,1536000
117,149.63,1920000,1536000
118,149.09,1920000,1536000
119,150.09,1920000,1536000
120,149.50,1920000,1536000
121,150.19,1920000,1536000
122,149.56,1920000,1536000
123,149.77,1920000,1536000
124,149.02,1920000,1536000
125,150.33,1920000,1536000
126,149.81,1920000,1536000
127,150.21,1920000,1536000
128,150.11,1920000,1536000
129,149.17,1920000,1536000
130,149.48,1920000,1536000
131,150.07,1920000,1536000
132,149.76,1920000,1536000
133,150.31,1920000,1536000
134,150.19,1920000,1536000
135,148.32,1920000,1536000
136,150.27,1920000,1536000
137,150.38,1920000,1536000
138,149.78,1920000,1536000
139,150.12,1920000,1536000
140,150.11,1920000,1536000
141,148.43,1920000,1536000
142,150.35,1920000,1536000
143,150.36,1920000,1536000
144,149.75,1920000,1536000
145,149.79,1920000,1536000
146,149.29,1920000,1536000
147,149.26,1920000,1536000
148,150.24,1920000,1536000
149,150.07,1920000,1536000
150,149.54,1920000,1536000
151,150.25,1920000,1536000
152,148.47,1920000,1536000
153,149.84,1920000,1536000
154,150.15,1920000,1536000
155,150.19,1920000,1536000
156,149.80,1920000,1536000
157,149.95,1920000,1536000
158,149.08,1920000,1536000
159,149.68,1920000,1536000
160,150.08,1920000,1536000
161,150.14,1920000,1536000
162,149.54,1920000,1536000
163,149.06,1920000,1536000
164,150.27,1920000,1536000
165,149.75,1920000,1536000
166,150.22,1920000,1536000
167,150.22,1920000,1536000
168,149.69,1920000,1536000
169,148.89,1920000,1536000
170,149.91,1920000,1536000
171,149.76,1920000,1536000
172,150.16,1920000,1536000
173,150.25,1920000,1536000
174,149.08,1920000,1536000
175,149.73,1920000,1536000
176,150.37,1920000,1536000
177,149.54,1920000,1536000
178,150.27,1920000,1536000
179,146.00,1920000,1536000
180,143.92,1920000,1536000
181,147.69,1920000,1536000
182,149.87,1920000,1536000
183,149.80,1920000,1536000
184,150.13,1920000,1536000
185,150.22,1920000,1536000
186,148.55,1920000,1536000
187,150.36,1920000,1536000
188,150.07,1920000,1536000
189,149.54,1920000,1536000
190,150.05,1920000,1536000
191,148.96,1920000,1536000
192,150.14,1920000,1536000
193,150.24,1920000,1536000
194,150.16,1920000,1536000
195,149.81,1920000,1536000
196,150.27,1920000,1536000
197,148.88,1920000,1536000
198,150.24,1920000,1536000
199,150.06,1920000,1536000
200,150.09,1920000,1536000
201,149.75,1920000,1536000
202,149.73,1920000,1536000
203,149.65,1920000,1536000
204,149.80,1920000,1536000
205,149.70,1920000,1536000
206,150.23,1920000,1536000
207,149.44,1920000,1536000
208,149.09,1920000,1536000
209,150.20,1920000,1536000
210,149.66,1920000,1536000
211,150.16,1920000,1536000
212,149.86,1920000,1536000
213,149.75,1920000,1536000
214,148.99,1920000,1536000
215,150.15,1920000,1536000
216,149.82,1920000,1536000
217,150.18,1920000,1536000
218,150.22,1920000,1536000
219,148.46,1920000,1536000
220,150.06,1920000,1536000
221,150.31,1920000,1536000
222,149.84,1920000,1536000
223,150.22,1920000,1536000
224,148.69,1920000,1536000
225,148.47,1920000,1536000
226,150.35,1920000,1536000
227,150.37,1920000,1536000
228,146.66,1920000,1536000
229,144.72,1920000,1536000
230,147.51,1920000,1536000
231,146.94,1920000,1536000
232,150.03,1920000,1536000
233,150.20,1920000,1536000
234,150.12,1920000,1536000
235,150.17,1920000,1536000
236,148.91,1920000,1536000
237,149.44,1920000,1536000
238,150.19,1920000,1536000
239,147.13,1920000,1536000
240,149.52,1920000,1536000
241,147.21,1920000,1536000
242,148.80,1920000,1536000
243,149.77,1920000,1536000
244,146.17,1920000,1536000
245,148.33,1920000,1536000
246,149.67,1920000,1536000
247,149.00,1920000,1536000
248,150.33,1920000,1536000
249,149.63,1920000,1536000
250,99.72,1920000,1536000
251,147.62,1920000,1536000
252,144.75,1920000,1536000
253,145.39,1920000,1536000
254,145.14,1920000,1536000
255,144.55,1920000,1536000
256,141.36,1920000,1536000
257,149.74,1920000,1536000
258,149.76,1920000,1536000
259,149.65,1920000,1536000
260,144.88,1920000,1536000
261,149.40,1920000,1536000
262,148.87,1920000,1536000
263,150.23,1920000,1536000
264,149.60,1920000,1536000
265,149.46,1920000,1536000
266,150.13,1920000,1536000
267,144.37,1920000,1536000
268,149.10,1920000,1536000
269,150.01,1920000,1536000
270,149.28,1920000,1536000
271,149.49,1920000,1536000
272,149.67,1920000,1536000
273,148.53,1920000,1536000
274,149.97,1920000,1536000
275,150.22,1920000,1536000
276,149.67,1920000,1536000
277,149.96,1920000,1536000
278,150.15,1920000,1536000
279,104.30,1920000,533000
280,147.87,1920000,1536000
281,145.28,1920000,1536000
282,145.35,1920000,1536000
283,145.19,1920000,1536000
284,143.15,1920000,1536000
285,150.02,1920000,1536000
286,145.70,1920000,1536000
287,150.02,1920000,1536000
288,149.63,1920000,1536000
289,148.97,1920000,1536000
290,56.11,1920000,1536000
291,149.35,1920000,1536000
292,144.50,1920000,1536000
293,87.41,1920000,1536000
294,149.60,1920000,1536000
295,85.80,1920000,1536000
296,87.69,1920000,1536000
297,150.24,1920000,1536000
298,146.37,1920000,1536000
299,146.28,1920000,1536000
