M=64 N=64 K=1024 reps=50 cpu=-1 dotprod=yes peak=0 kHz
second,gops_total,freq_first_khz,freq_last_khz
0,141.26,2400000,2400000
1,138.31,1920000,1920000
2,133.81,2288000,2288000
3,131.62,2016000,2016000
4,133.55,2112000,2112000
5,132.60,2112000,2112000
6,129.97,2112000,2112000
7,130.77,2016000,2016000
8,131.42,2288000,2288000
9,130.92,2112000,2112000
10,131.59,2208000,2208000
11,130.55,2112000,2112000
12,131.15,2288000,2288000
13,130.68,2288000,2288000
14,131.00,1920000,1920000
15,130.42,2016000,2016000
16,131.23,2112000,2112000
17,131.20,2112000,2112000
18,131.38,2112000,2112000
19,130.05,2016000,2016000
20,131.03,2112000,2112000
21,131.49,2112000,2112000
22,131.04,2112000,2112000
23,130.98,2112000,2112000
24,131.63,2112000,2112000
25,131.30,2112000,2112000
26,128.43,2208000,2208000
27,129.49,2016000,2016000
28,126.66,2016000,2016000
29,129.44,2112000,2112000
30,131.41,2112000,2112000
31,130.41,2112000,2112000
32,131.02,2016000,2016000
33,129.02,2112000,2112000
34,131.26,2112000,2112000
35,130.89,2112000,2112000
36,130.10,2016000,2016000
37,131.30,2112000,2112000
38,128.83,2016000,2016000
39,129.95,2112000,2112000
40,130.68,2112000,2112000
41,129.64,2112000,2112000
42,130.40,2112000,2112000
43,129.74,2016000,2016000
44,129.82,2288000,2288000
45,130.94,1920000,1920000
46,129.40,2016000,2016000
47,130.44,2208000,2208000
48,124.64,2112000,2112000
49,126.97,2016000,2016000
50,130.41,2112000,2112000
51,128.81,2016000,2016000
52,129.06,2112000,2112000
53,129.34,2112000,2112000
54,130.89,2112000,2112000
55,128.80,2016000,2016000
56,129.18,2112000,2112000
57,129.60,2112000,2112000
58,124.03,1728000,1728000
59,124.45,2016000,2016000
60,122.20,2208000,2208000
61,125.62,2208000,2208000
62,124.74,1824000,1824000
63,126.79,1824000,1824000
64,126.50,1920000,1920000
65,123.60,1824000,1824000
66,113.48,1920000,1920000
67,127.01,2016000,2016000
68,127.01,2208000,2208000
69,128.56,2112000,2112000
70,129.75,2112000,2112000
71,129.37,2016000,2016000
72,130.17,2112000,2112000
73,129.51,2016000,2016000
74,130.31,2112000,2112000
75,130.21,2112000,2112000
76,129.73,2112000,2112000
77,130.12,2112000,2112000
78,130.08,2112000,2112000
79,129.57,2112000,2112000
80,130.23,2112000,2112000
81,130.19,2112000,2112000
82,129.54,2112000,2112000
83,129.76,2112000,2112000
84,130.33,2112000,2112000
85,129.76,2112000,2112000
86,130.14,2112000,2112000
87,129.75,2112000,2112000
88,129.02,2112000,2112000
89,125.91,2016000,2016000
90,123.24,2016000,2016000
91,122.74,2016000,2016000
92,122.93,2016000,2016000
93,120.30,2016000,2016000
94,125.35,2016000,2016000
95,119.77,2016000,2016000
96,125.58,2016000,2016000
97,125.55,2016000,2016000
98,125.49,2016000,2016000
99,93.48,768000,768000
100,125.41,2016000,2016000
101,125.57,2016000,2016000
102,125.50,2016000,2016000
103,125.28,2016000,2016000
104,125.51,2016000,2016000
105,125.64,2016000,2016000
106,125.41,2016000,2016000
107,120.08,2016000,2016000
108,125.37,2016000,2016000
109,125.21,2016000,2016000
110,125.78,2016000,2016000
111,125.62,2016000,2016000
112,125.37,2016000,2016000
113,125.31,2016000,2016000
114,125.36,2016000,2016000
115,125.42,2016000,2016000
116,125.62,2016000,2016000
117,125.48,2016000,2016000
118,125.29,2016000,2016000
119,125.14,2016000,2016000
120,121.69,2016000,2016000
121,125.48,2016000,2016000
122,125.65,2016000,2016000
123,125.49,2016000,2016000
124,125.39,2016000,2016000
125,125.46,2016000,2016000
126,125.60,2016000,2016000
127,125.36,2016000,2016000
128,125.55,2016000,2016000
129,125.37,2016000,2016000
130,125.27,2016000,2016000
131,125.31,2016000,2016000
132,125.55,2016000,2016000
133,125.25,2016000,2016000
134,125.40,2016000,2016000
135,125.61,2016000,2016000
136,125.44,2016000,2016000
137,125.63,2016000,2016000
138,125.53,2016000,2016000
139,125.05,2016000,2016000
140,125.45,2016000,2016000
141,125.53,2016000,2016000
142,125.20,2016000,2016000
143,125.48,2016000,2016000
144,125.68,2016000,2016000
145,74.35,672000,672000
146,73.14,2016000,2016000
147,125.70,2016000,2016000
148,120.38,2016000,2016000
149,120.63,2016000,2016000
150,120.32,2016000,2016000
151,120.49,2016000,2016000
152,77.89,2016000,2016000
153,125.64,2016000,2016000
154,68.09,2016000,2016000
155,125.51,2016000,2016000
156,71.24,2340000,2340000
157,143.37,2112000,2112000
158,135.41,2016000,2016000
159,131.21,2340000,2340000
160,94.60,2340000,2340000
161,137.37,2016000,2016000
162,81.13,2340000,2340000
163,138.71,2016000,2016000
164,131.56,2112000,2112000
165,77.53,2112000,2112000
166,84.15,2340000,2340000
167,83.61,2288000,2288000
168,81.64,2400000,2400000
169,85.65,2400000,2400000
170,136.65,2400000,2400000
171,94.00,2208000,2208000
172,138.64,1920000,1920000
173,127.76,2288000,2288000
174,134.05,2112000,2112000
175,127.63,2016000,2016000
176,132.75,2208000,2208000
177,132.24,2016000,2016000
178,131.57,2016000,2016000
179,127.05,2112000,2112000
180,131.40,2016000,2016000
181,131.58,2016000,2016000
182,130.81,2112000,2112000
183,131.65,2112000,2112000
184,131.45,2112000,2112000
185,131.53,2112000,2112000
186,125.63,2112000,2112000
187,101.84,2340000,2340000
188,122.21,1920000,1920000
189,125.31,2016000,2016000
190,127.83,2208000,2208000
191,126.58,1920000,1920000
192,126.41,2288000,2288000
193,127.88,2016000,2016000
194,128.35,2016000,2016000
195,127.38,1824000,1824000
196,125.65,2112000,2112000
197,127.32,1920000,1920000
198,128.20,2112000,2112000
199,129.26,2112000,2112000
200,129.31,2016000,2016000
201,129.07,2112000,2112000
202,127.39,2112000,2112000
203,128.95,2112000,2112000
204,129.20,2112000,2112000
205,129.01,2112000,2112000
206,128.51,2016000,2016000
207,129.14,2112000,2112000
208,120.76,1920000,1920000
209,119.33,1920000,1920000
210,119.30,1920000,1920000
211,119.16,1920000,1920000
212,119.26,1920000,1920000
213,118.97,1920000,1920000
214,119.15,1920000,1920000
215,119.25,1920000,1920000
216,119.30,1920000,1920000
217,117.12,1920000,1920000
218,114.35,1824000,1824000
219,113.10,1824000,1824000
220,113.15,1824000,1824000
221,113.36,1824000,1824000
222,113.30,1824000,1824000
223,113.17,1824000,1824000
224,113.38,1824000,1824000
225,113.30,1824000,1824000
226,113.17,1824000,1824000
227,113.40,1824000,1824000
228,117.57,1920000,1920000
229,118.92,1920000,1920000
230,119.22,1920000,1920000
231,119.33,1920000,1920000
232,117.37,1920000,1920000
233,119.34,1920000,1920000
234,119.41,1920000,1920000
235,119.12,1920000,1920000
236,119.22,1920000,1920000
237,119.38,1920000,1920000
238,114.01,1824000,1824000
239,112.96,1824000,1824000
240,113.14,1824000,1824000
241,113.41,1824000,1824000
242,113.09,1824000,1824000
243,113.26,1824000,1824000
244,113.21,1824000,1824000
