M=64 N=64 K=1024 reps=50 cpu=-1 dotprod=yes peak=0 kHz
second,gops_total,freq_first_khz,freq_last_khz
0,71.74,2400000,2400000
1,76.52,2400000,2400000
2,76.53,2400000,2400000
3,76.51,2400000,2400000
4,76.53,2400000,2400000
5,76.51,2400000,2400000
6,76.53,2400000,2400000
7,76.54,2400000,2400000
8,76.40,2400000,2400000
9,76.49,2400000,2400000
10,76.47,2400000,2400000
11,76.44,2400000,2400000
12,76.49,2400000,2400000
13,76.33,2400000,2400000
14,75.17,2400000,2400000
15,76.36,2400000,2400000
16,76.48,2400000,2400000
17,76.50,2400000,2400000
18,76.50,2400000,2400000
19,76.50,2400000,2400000
20,76.50,2400000,2400000
21,76.45,2400000,2400000
22,76.50,2400000,2400000
23,76.51,2400000,2400000
24,76.51,2400000,2400000
25,76.52,2400000,2400000
26,76.50,2400000,2400000
27,76.46,2400000,2400000
28,76.51,2400000,2400000
29,76.50,2400000,2400000
30,76.50,2400000,2400000
31,76.47,2400000,2400000
32,76.48,2400000,2400000
33,76.50,2400000,2400000
34,76.50,2400000,2400000
35,76.50,2400000,2400000
36,76.51,2400000,2400000
37,76.47,2400000,2400000
38,76.50,2400000,2400000
39,76.51,2400000,2400000
40,76.50,2400000,2400000
41,76.47,2400000,2400000
42,76.49,2400000,2400000
43,76.44,2400000,2400000
44,76.46,2400000,2400000
45,76.45,2400000,2400000
46,76.46,2400000,2400000
47,76.48,2400000,2400000
48,76.44,2400000,2400000
49,76.45,2400000,2400000
50,76.44,2400000,2400000
51,76.47,2400000,2400000
52,76.49,2400000,2400000
53,76.50,2400000,2400000
54,76.48,2400000,2400000
55,76.49,2400000,2400000
56,76.50,2400000,2400000
57,76.50,2400000,2400000
58,76.50,2400000,2400000
59,76.49,2400000,2400000
60,76.50,2400000,2400000
61,76.50,2400000,2400000
62,76.47,2400000,2400000
63,76.52,2400000,2400000
64,76.48,2400000,2400000
65,76.51,2400000,2400000
66,76.50,2400000,2400000
67,76.50,2400000,2400000
68,76.51,2400000,2400000
69,76.51,2400000,2400000
70,76.47,2400000,2400000
71,76.52,2400000,2400000
72,76.47,2400000,2400000
73,76.50,2400000,2400000
74,76.49,2400000,2400000
75,76.49,2400000,2400000
76,76.50,2400000,2400000
77,76.50,2400000,2400000
78,76.50,2400000,2400000
79,76.50,2400000,2400000
80,76.48,2400000,2400000
81,76.50,2400000,2400000
82,76.47,2400000,2400000
83,76.50,2400000,2400000
84,76.52,2400000,2400000
85,76.50,2400000,2400000
86,76.47,2400000,2400000
87,76.50,2400000,2400000
88,76.50,2400000,2400000
89,76.51,2400000,2400000
90,76.51,2400000,2400000
91,76.47,2400000,2400000
92,76.46,2400000,2400000
93,76.51,2400000,2400000
94,76.49,2400000,2400000
95,76.50,2400000,2400000
96,76.48,2400000,2400000
97,76.50,2400000,2400000
98,76.51,2400000,2400000
99,76.50,2400000,2400000
100,76.51,2400000,2400000
101,76.50,2400000,2400000
102,76.47,2400000,2400000
103,76.47,2400000,2400000
104,76.50,2400000,2400000
105,70.59,2400000,2400000
106,68.69,2016000,2016000
107,70.51,2112000,2112000
108,73.24,2340000,2340000
109,74.14,2400000,2400000
110,66.17,2400000,2400000
111,72.07,2400000,2400000
112,72.76,2016000,2016000
113,64.04,2016000,2016000
114,64.20,2016000,2016000
115,64.13,2016000,2016000
116,64.16,2016000,2016000
117,64.22,2016000,2016000
118,64.19,2016000,2016000
119,64.24,2016000,2016000
120,64.24,2016000,2016000
121,64.17,2016000,2016000
122,66.27,2288000,2288000
123,72.88,2288000,2288000
124,72.92,2288000,2288000
125,72.95,2288000,2288000
126,72.93,2288000,2288000
127,72.90,2288000,2288000
128,72.92,2288000,2288000
129,72.91,2288000,2288000
130,72.93,2288000,2288000
131,72.93,2288000,2288000
132,73.83,2400000,2400000
133,76.44,2400000,2400000
134,76.45,2400000,2400000
135,76.49,2400000,2400000
136,76.49,2400000,2400000
137,76.48,2400000,2400000
138,76.49,2400000,2400000
139,76.49,2400000,2400000
140,76.47,2400000,2400000
141,76.50,2400000,2400000
142,76.47,2400000,2400000
143,76.50,2400000,2400000
144,76.45,2400000,2400000
145,76.47,2400000,2400000
146,76.49,2400000,2400000
147,76.49,2400000,2400000
148,76.48,2400000,2400000
149,76.46,2400000,2400000
150,76.48,2400000,2400000
151,76.45,2400000,2400000
152,76.50,2400000,2400000
153,76.50,2400000,2400000
154,76.27,2400000,2400000
155,76.42,2400000,2400000
156,76.41,2400000,2400000
157,76.48,2400000,2400000
158,76.50,2400000,2400000
159,76.49,2400000,2400000
160,76.50,2400000,2400000
161,76.49,2400000,2400000
162,76.31,2400000,2400000
163,76.49,2400000,2400000
164,76.45,2400000,2400000
165,76.49,2400000,2400000
166,76.51,2400000,2400000
167,76.29,2400000,2400000
168,76.50,2400000,2400000
169,76.49,2400000,2400000
170,75.88,2400000,2400000
171,76.25,2400000,2400000
172,76.25,2400000,2400000
173,76.39,2400000,2400000
174,76.28,2400000,2400000
175,75.88,2400000,2400000
176,76.32,2400000,2400000
177,76.40,2400000,2400000
178,76.08,2400000,2400000
179,76.30,2400000,2400000
180,76.42,2400000,2400000
181,76.13,2400000,2400000
182,76.39,2400000,2400000
183,76.19,2400000,2400000
184,76.13,2400000,2400000
185,76.41,2400000,2400000
186,76.37,2400000,2400000
187,76.18,2400000,2400000
188,76.38,2400000,2400000
189,76.17,2400000,2400000
190,75.97,2340000,2340000
191,75.73,2340000,2340000
192,76.12,2400000,2400000
193,76.11,2400000,2400000
194,76.08,2400000,2400000
195,76.29,2400000,2400000
196,76.13,2400000,2400000
197,76.24,2400000,2400000
198,76.42,2400000,2400000
199,76.14,2400000,2400000
200,76.24,2400000,2400000
201,76.33,2400000,2400000
202,76.40,2340000,2340000
203,76.26,2400000,2400000
204,76.30,2400000,2400000
205,76.00,2400000,2400000
206,76.27,2400000,2400000
207,76.26,2400000,2400000
208,76.25,2400000,2400000
209,76.26,2340000,2340000
210,76.13,2400000,2400000
211,75.96,2340000,2340000
212,76.18,2400000,2400000
213,76.24,2400000,2400000
214,76.20,2400000,2400000
215,76.26,2340000,2340000
216,75.95,2400000,2400000
217,76.13,2400000,2400000
218,76.19,2340000,2340000
219,76.30,2400000,2400000
220,76.11,2340000,2340000
221,75.98,2400000,2400000
222,76.16,2400000,2400000
223,76.02,2400000,2400000
224,76.15,2400000,2400000
225,76.15,2400000,2400000
226,76.22,2340000,2340000
227,75.89,2400000,2400000
228,76.03,2400000,2400000
229,76.08,2400000,2400000
230,75.29,2288000,2288000
231,71.14,2340000,2340000
232,74.83,2340000,2340000
233,75.62,2400000,2400000
234,76.08,2400000,2400000
235,76.30,2400000,2400000
236,76.44,2400000,2400000
237,76.40,2400000,2400000
238,76.40,2400000,2400000
239,76.45,2400000,2400000
240,76.44,2400000,2400000
241,76.33,2400000,2400000
242,76.45,2400000,2400000
243,76.28,2400000,2400000
244,76.45,2400000,2400000
245,76.45,2400000,2400000
246,76.43,2400000,2400000
247,75.76,2400000,2400000
248,76.37,2400000,2400000
249,76.41,2400000,2400000
250,76.38,2400000,2400000
251,76.44,2400000,2400000
252,76.45,2400000,2400000
253,76.34,2400000,2400000
254,76.41,2400000,2400000
255,76.46,2400000,2400000
256,76.42,2400000,2400000
257,76.44,2400000,2400000
258,76.46,2400000,2400000
259,76.42,2400000,2400000
260,76.44,2400000,2400000
261,76.42,2400000,2400000
262,76.45,2400000,2400000
263,76.46,2400000,2400000
264,76.45,2400000,2400000
265,76.37,2400000,2400000
266,76.44,2400000,2400000
267,76.43,2400000,2400000
268,76.47,2400000,2400000
269,76.45,2400000,2400000
270,73.90,2208000,2208000
271,74.69,2340000,2340000
272,75.45,2340000,2340000
273,75.59,2400000,2400000
274,76.35,2400000,2400000
275,76.13,2400000,2400000
276,75.18,2400000,2400000
277,75.35,2400000,2400000
278,75.38,2400000,2400000
279,74.90,2208000,2208000
280,73.96,2288000,2288000
281,74.37,2400000,2400000
282,72.54,2112000,2112000
283,72.96,2400000,2400000
284,75.51,2400000,2400000
285,75.62,2400000,2400000
286,75.48,2400000,2400000
287,75.58,2340000,2340000
288,75.98,2400000,2400000
289,76.14,2400000,2400000
290,76.36,2400000,2400000
291,76.52,2400000,2400000
292,76.01,2400000,2400000
293,76.46,2400000,2400000
294,76.53,2400000,2400000
295,76.45,2400000,2400000
296,76.19,2400000,2400000
