t_s,battery_c,thermal_status
0,217,1
5,217,1
10,218,1
15,218,1
20,218,1
25,217,1
30,217,1
35,217,1
40,217,1
45,217,1
50,217,1
55,217,1
60,215,1
65,214,1
70,215,1
75,215,1
80,215,1
85,215,1
90,215,1
95,213,1
100,213,1
105,213,1
110,213,1
115,213,1
120,212,1
125,212,1
130,212,1
135,212,1
140,212,1
145,212,1
150,211,1
155,211,1
160,211,1
165,211,1
170,211,1
175,211,1
180,211,1
185,211,1
190,211,1
195,211,1
200,211,1
205,211,1
210,211,1
215,211,1
220,211,1
225,211,1
230,211,1
235,211,1
240,211,2
245,211,2
250,211,2
255,211,2
260,211,2
265,211,2
270,211,2
275,211,2
280,211,2
285,211,2
