t_s,battery_c,thermal_status
0,209,0
5,207,0
10,207,0
15,207,0
20,207,0
25,207,0
30,205,0
35,205,0
40,205,0
45,205,0
50,205,0
55,205,0
60,205,0
65,205,0
70,205,0
75,205,0
80,205,0
85,204,1
90,204,1
95,204,1
100,204,1
105,204,1
110,204,1
115,204,1
120,204,1
125,204,1
130,204,1
135,204,1
140,203,1
145,204,1
150,204,1
155,204,1
160,204,1
165,203,1
170,204,1
175,204,1
180,204,1
185,204,1
190,204,1
195,204,1
200,204,1
205,204,1
210,204,1
215,204,1
220,204,1
225,208,1
230,208,1
235,208,1
240,208,1
245,208,1
250,208,1
255,212,1
260,212,1
265,212,1
270,212,1
275,212,1
280,217,1
285,217,1
