t_s,battery_c,thermal_status
0,189,0
5,189,0
10,189,0
15,189,0
20,189,0
25,189,0
30,189,0
35,190,0
40,190,0
45,190,0
50,190,0
55,190,0
60,190,0
65,190,0
70,190,0
75,190,0
80,190,0
85,190,0
90,190,0
95,190,0
100,190,0
105,190,0
110,190,0
115,190,0
120,193,0
125,193,0
130,193,0
135,193,0
140,193,0
145,200,0
150,200,0
155,200,0
160,200,0
165,200,0
170,200,0
175,206,0
180,206,0
185,206,0
190,206,0
195,206,0
200,209,0
205,209,0
210,209,0
215,209,0
220,209,0
225,209,0
230,210,0
235,210,0
240,210,0
245,210,0
250,210,0
255,209,0
260,209,0
265,209,0
270,209,0
275,209,0
